taz_id,far_prcnt_estimate_q8,far_estimate_count,units_per_acre_q8,units_per_acre_estimate_count
192.0,134.26854000000006,277,58.487394600000016,277
193.0,20.869799999999998,1460,9.090909,1460
194.0,32.7954,1451,14.285714000000002,1451
195.0,28.695999999999998,1792,12.5,1792
196.0,28.695999999999998,2002,12.5,2002
197.0,28.695999999999998,1153,12.5,1153
198.0,57.3921,267,25.0,267
199.0,187.83446000000004,50,81.82072740000001,50
200.0,98.38640000000001,262,42.857141999999996,262
201.0,114.7842,939,50.0,939
202.0,57.3921,1465,25.0,1465
203.0,76.5228,1043,33.333333,1043
204.0,76.5228,1449,33.333333,1449
205.0,65.59089999999999,1573,28.571428000000004,1573
206.0,32.7954,997,14.285714000000002,997
207.0,38.2614,873,16.666666,873
208.0,45.9136,1255,20.0,1255
209.0,28.695999999999998,2155,12.5,2155
210.0,73.30072000000018,555,31.929824200000077,555
211.0,88.29549999999999,990,38.461538,990
212.0,32.7954,849,14.285714000000002,849
213.0,22.9568,1861,10.0,1861
214.0,22.9568,1978,10.0,1978
215.0,48.3301,964,21.052630999999998,964
216.0,22.9568,637,10.0,637
217.0,22.9568,1291,10.0,1291
218.0,57.3921,1049,25.0,1049
219.0,32.7954,1761,14.285714000000002,1761
220.0,25.507600000000004,1360,11.111111,1360
221.0,25.507600000000004,1267,11.111111,1267
222.0,22.9568,1058,10.0,1058
223.0,38.2614,1155,16.666666,1155
224.0,20.869799999999998,1206,9.090909,1206
225.0,20.869799999999998,1312,9.090909,1312
226.0,20.869799999999998,2441,9.090909,2441
227.0,20.869799999999998,1652,9.090909,1652
228.0,19.1307,15,8.333333,15
229.0,20.869799999999998,1505,9.090909,1505
230.0,65.59089999999999,1608,28.571428000000004,1608
231.0,20.869799999999998,1398,9.090909,1398
232.0,20.869799999999998,1698,9.090909,1698
233.0,20.869799999999998,1601,9.090909,1601
234.0,100.00314000000002,27,43.561403399999996,27
235.0,20.869799999999998,1146,9.090909,1146
236.0,38.2614,1538,16.666666,1538
237.0,83.4794,1319,36.363636,1319
238.0,38.2614,912,16.666666,912
240.0,62.6095,711,27.272727000000003,711
241.0,19.1307,1174,8.333333,1174
242.0,19.1307,922,8.333333,922
243.0,19.1307,919,8.333333,919
244.0,35.3182,1051,15.384615,1051
245.0,12.753800000000002,939,5.555555,939
246.0,16.3977,2095,7.142857000000001,2095
247.0,19.1307,1099,8.333333,1099
248.0,41.7397,717,18.181818,717
249.0,41.7397,1386,18.181818,1386
250.0,32.7954,1245,14.285714000000002,1245
251.0,107.80225999999999,683,46.9586978,683
252.0,4.7826,1982,2.083333,1982
253.0,13.504000000000001,811,5.882352,811
254.0,5.2174,1927,2.272727,1927
255.0,17.6591,1156,7.6923070000000004,1156
256.0,49.1932,693,21.428570999999998,693
257.0,76.5228,589,33.333333,589
258.0,83.4794,634,36.363636,634
259.0,62.6095,490,27.272727000000003,490
260.0,52.97729999999999,1136,23.076923,1136
261.0,20.869799999999998,975,9.090909,975
262.0,20.869799999999998,880,9.090909,880
263.0,20.869799999999998,745,9.090909,745
264.0,20.869799999999998,1024,9.090909,1024
265.0,153.0456,355,66.666666,355
266.0,114.7842,883,50.0,883
267.0,38.2614,1013,16.666666,1013
268.0,57.3921,735,25.0,735
269.0,19.1307,739,8.333333,739
270.0,57.3921,544,25.0,544
271.0,57.3921,918,25.0,918
272.0,19.1307,935,8.333333,935
273.0,38.2614,771,16.666666,771
274.0,76.5228,616,33.333333,616
275.0,41.7397,883,18.181818,883
276.0,35.3182,319,15.384615,319
277.0,20.869799999999998,1390,9.090909,1390
278.0,62.6095,633,27.272727000000003,633
279.0,22.9568,1047,10.0,1047
280.0,41.7397,965,18.181818,965
281.0,38.2614,821,16.666666,821
282.0,19.1307,783,8.333333,783
283.0,19.1307,1302,8.333333,1302
284.0,83.4794,559,36.363636,559
285.0,19.1307,1123,8.333333,1123
286.0,28.695999999999998,1987,12.5,1987
287.0,24.165,721,10.526314999999999,721
288.0,29.444620000000032,1163,12.826086800000013,1163
289.0,22.9568,2165,10.0,2165
290.0,28.695999999999998,983,12.5,983
291.0,54.659099999999995,1071,23.809523000000002,1071
292.0,12.753800000000002,789,5.555555,789
293.0,20.869799999999998,1864,9.090909,1864
294.0,20.869799999999998,2156,9.090909,2156
295.0,20.869799999999998,1039,9.090909,1039
296.0,19.1307,2229,8.333333,2229
297.0,12.753800000000002,1119,5.555555,1119
298.0,8.5025,2324,3.703703,2324
299.0,2.6087,1214,1.136363,1214
300.0,6.0412,1019,2.6315779999999998,1019
301.0,16.3977,1987,7.142857000000001,1987
302.0,12.753800000000002,1636,5.555555,1636
303.0,17.6591,1579,7.692307,1579
304.0,17.6591,1692,7.692307,1692
305.0,15.3045,705,6.666666,705
306.0,19.9624,979,8.695652,979
307.0,17.6591,1827,7.692307,1827
308.0,20.869799999999998,1319,9.090909,1319
309.0,40.572020000000016,1705,17.673201800000005,1705
310.0,20.869799999999998,622,9.090909,622
311.0,32.7954,801,14.285714000000002,801
312.0,45.9136,1520,20.0,1520
313.0,65.55850000000004,60,28.55731200000002,60
314.0,96.05621999999998,644,41.84210479999999,644
315.0,418.78842000000003,150,182.42424160000002,150
316.0,41.7397,441,18.181818,441
317.0,30.6091,1117,13.333332999999998,1117
318.0,20.869799999999998,958,9.090909,958
319.0,16.3977,1166,7.142857000000001,1166
320.0,38.2614,1307,16.666666,1307
321.0,16.3977,1036,7.142857000000001,1036
322.0,22.9568,1549,10.0,1549
323.0,57.3921,990,25.0,990
324.0,82.6446,331,36.0,331
325.0,53.185040000000036,1165,23.16742060000002,1165
326.0,94.5281,280,41.17647000000001,280
327.0,57.3921,710,25.0,710
328.0,20.869799999999998,1069,9.090909,1069
329.0,32.7954,762,14.285714000000002,762
330.0,32.7954,985,14.285714000000002,985
331.0,20.869799999999998,1141,9.090909,1141
332.0,20.869799999999998,820,9.090909,820
333.0,32.7954,1859,14.285714000000002,1859
334.0,22.9568,1232,10.0,1232
335.0,87.566,564,38.14376680000001,564
336.0,20.869799999999998,1187,9.090909,1187
337.0,9.5653,418,4.166666,418
338.0,19.1307,755,8.333333,755
339.0,5.44048000000001,927,2.369877800000004,927
340.0,57.3921,915,25.0,915
341.0,66.71052,885,29.05913960000001,885
342.0,2.9059,1500,1.265822,1500
343.0,12.753800000000002,812,5.555555,812
344.0,13.504000000000001,1209,5.882352,1209
345.0,19.1307,1464,8.333333,1464
346.0,57.3921,800,25.0,800
347.0,3.4010000000000007,2495,1.481481,2495
349.0,16.3977,254,7.142857000000001,254
350.0,9.182699999999999,642,4.0,642
351.0,38.2614,1066,16.666666,1066
352.0,93.57900000000001,1,40.763052,1
354.0,646.91964,2,281.798201,2
355.0,200.0388,26,87.13692900000001,26
356.0,153.0456,1423,66.666666,1423
357.0,18.365399999999998,1634,8.0,1634
358.0,16.3977,1955,7.142857000000001,1955
359.0,17.6591,1279,7.692307,1279
360.0,17.6591,1556,7.6923070000000004,1556
361.0,19.1307,1641,8.333333,1641
362.0,25.507600000000004,1447,11.111111,1447
363.0,16.3977,734,7.142857000000001,734
364.0,15.726740000000037,652,6.850574000000016,652
365.0,102.03040000000001,261,44.444444,261
366.0,38.2614,854,16.666666,854
367.0,19.1307,1569,8.333333,1569
368.0,2.5794,1465,1.1235950000000001,1465
369.0,12.753800000000002,1507,5.555555,1507
370.0,17.6591,1293,7.6923070000000004,1293
371.0,15.3045,1069,6.666666,1069
372.0,313.74348000000174,620,136.66666640000076,620
373.0,20.869799999999998,891,9.090909,891
374.0,344.35260000000005,296,150.0,296
375.0,459.1368,353,200.0,353
376.0,114.7842,1120,50.0,1120
377.0,286.9605,635,125.0,635
378.0,105.34182000000003,534,45.88691140000002,534
379.0,70.6364,710,30.76923,710
380.0,307.86328,73,134.105263,73
381.0,25.507600000000004,1435,11.111111,1435
382.0,28.695999999999998,760,12.5,760
383.0,16.3977,695,7.142857000000001,695
384.0,9.9812,1498,4.347826,1498
385.0,9.9812,966,4.347826,966
386.0,9.9812,1053,4.347826,1053
387.0,10.434899999999999,1229,4.545454,1229
388.0,10.434899999999999,2106,4.545454,2106
389.0,15.3045,1412,6.666666,1412
390.0,43.59064000000004,712,18.98809520000002,712
391.0,105.73104,689,46.05647499999999,689
392.0,413.22312000000096,165,180.00000000000043,165
393.0,40.60778000000006,723,17.688751600000028,723
394.0,22.9568,1210,10.0,1210
395.0,315.6565,246,137.5,246
397.0,229.5684,532,100.0,532
398.0,172.17630000000003,256,75.0,256
399.0,191.81714000000002,9,83.5555552,9
400.0,137.741,601,60.0,601
401.0,170.4463400000001,23,74.24644020000005,23
402.0,96.41868000000001,10,42.0,10
404.0,38.2614,362,16.666666,362
405.0,0.0262,1,0.011422,1
406.0,406.26180000000005,4,176.96766960000002,4
407.0,10.4448,1,4.549763,1
408.0,0.18920000000000003,1,0.08244,1
409.0,12.753800000000002,12,5.555555,12
410.0,160.6978,289,70.0,289
411.0,156.79934,4,68.3018232,4
412.0,2915.518780000004,404,1270.0000000000018,404
413.0,573.921,1013,250.0,1013
414.0,16.3977,738,7.142857000000001,738
415.0,76.5228,584,33.333333,584
416.0,137.741,1425,60.0,1425
418.0,70.6364,97,30.76923,97
419.0,17.6591,668,7.6923070000000004,668
420.0,20.869799999999998,741,9.090909,741
421.0,19.1307,86,8.333333,86
422.0,344.35260000000005,745,150.0,745
423.0,38.2614,916,16.666666,916
424.0,20.869799999999998,1393,9.090909,1393
425.0,52.97729999999999,526,23.076923,526
426.0,91.8273,530,40.0,530
427.0,77.2268,62,33.640025,62
428.0,238.88106000000002,23,104.05660360000002,23
429.0,17.18818,7,7.487178800000001,7
430.0,8.632159999999999,2,3.7601760000000004,2
431.0,15.470880000000001,10,6.7391304000000005,10
